Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
60.08345	57.68190	140.03952	24.50783	-71.19968	0.04323	0.88704
60.58414	57.68182	140.03796	24.46798	-71.22799	0.03976	0.88185
61.08484	57.68073	140.03468	24.46163	-71.31499	0.04487	0.86600
61.58554	57.68069	140.03351	24.42301	-71.34429	0.04146	0.86051
62.08623	57.67975	140.03142	24.42312	-71.43281	0.04632	0.84433
62.58693	57.67973	140.03071	24.38738	-71.46209	0.04300	0.83902
63.08762	57.67883	140.02988	24.39702	-71.55053	0.04764	0.82392
63.58832	57.67877	140.02951	24.36406	-71.57975	0.04440	0.81922
64.08901	57.67780	140.02919	24.38144	-71.66707	0.04882	0.80639
64.58971	57.67768	140.02864	24.35019	-71.69545	0.04569	0.80259
65.09040	57.67640	140.02704	24.37143	-71.77985	0.04999	0.79231
65.59110	57.67613	140.02590	24.34065	-71.80716	0.04700	0.78925
66.09179	57.67455	140.02261	24.36423	-71.88795	0.05129	0.78061
66.59249	57.67422	140.02099	24.33428	-71.91396	0.04849	0.77775
67.09318	57.67248	140.01621	24.36011	-71.99219	0.05293	0.76879
67.59388	57.67203	140.01407	24.33014	-72.01841	0.05037	0.76534
68.09458	57.66992	140.00768	24.35532	-72.09883	0.05501	0.75390
68.59527	57.66934	140.00498	24.32459	-72.12629	0.05268	0.74934
69.09597	57.66690	139.99682	24.34787	-72.21082	0.05747	0.73442
69.59666	57.66614	139.99347	24.31631	-72.23994	0.05534	0.72866
70.09736	57.66310	139.98340	24.33712	-72.32929	0.06022	0.71046
70.59805	57.66211	139.97957	24.30429	-72.35989	0.05828	0.70381
71.09875	57.65846	139.96835	24.32137	-72.45250	0.06316	0.68365
71.59944	57.65725	139.96426	24.28717	-72.48353	0.06138	0.67672
72.10014	57.65294	139.95235	24.30126	-72.57638	0.06625	0.65633
72.60083	57.65147	139.94813	24.26643	-72.60719	0.06464	0.64955
73.10153	57.64668	139.93624	24.28010	-72.69821	0.06947	0.63025
73.60223	57.64525	139.93231	24.24535	-72.72750	0.06801	0.62424
74.10292	57.64098	139.92166	24.25864	-72.81163	0.07276	0.60782
74.60362	57.63976	139.91832	24.22286	-72.83763	0.07146	0.60294
75.10431	57.63606	139.90946	24.23165	-72.91110	0.07618	0.58970
75.60501	57.63500	139.90671	24.19369	-72.93352	0.07504	0.58573
76.10570	57.63180	139.89912	24.19628	-72.99762	0.07972	0.57452
76.60640	57.63088	139.89654	24.15631	-73.01762	0.07874	0.57081
77.10709	57.62812	139.88900	24.15324	-73.07601	0.08333	0.55957
77.60779	57.62733	139.88638	24.11151	-73.09484	0.08248	0.55553
78.10848	57.62499	139.87902	24.10428	-73.15172	0.08696	0.54263
78.60918	57.62432	139.87668	24.06144	-73.17112	0.08626	0.53773
79.10987	57.62221	139.87048	24.05178	-73.23141	0.09061	0.52187
79.61057	57.62150	139.86867	24.00864	-73.25276	0.09002	0.51580
80.11127	57.61909	139.86366	23.99899	-73.31944	0.09419	0.49644
80.61196	57.61812	139.86196	23.95622	-73.34281	0.09373	0.48938
81.11266	57.61469	139.85664	23.94872	-73.41385	0.09781	0.46798
81.61335	57.61325	139.85468	23.90713	-73.43810	0.09751	0.46057
82.11405	57.60863	139.84878	23.90431	-73.51071	0.10152	0.43846
82.61474	57.60698	139.84683	23.86510	-73.53488	0.10139	0.43095
83.11544	57.60225	139.84125	23.87096	-73.60573	0.10539	0.40880
83.61613	57.60071	139.83959	23.83535	-73.62887	0.10545	0.40135
84.11683	57.59641	139.83515	23.85307	-73.69685	0.10947	0.37934
84.61752	57.59498	139.83400	23.82206	-73.71925	0.10971	0.37191
85.11822	57.59116	139.83105	23.85366	-73.78522	0.11368	0.34998
85.61892	57.58999	139.83041	23.82730	-73.80715	0.11407	0.34255
86.11961	57.58722	139.82875	23.87161	-73.87231	0.11796	0.32038
86.62031	57.58642	139.82840	23.84898	-73.89415	0.11849	0.31286
87.12100	57.58445	139.82716	23.90209	-73.95896	0.12226	0.29087
87.62170	57.58369	139.82680	23.88148	-73.98074	0.12292	0.28361
88.12239	57.58174	139.82514	23.93940	-74.04504	0.12651	0.26254
88.62309	57.58102	139.82459	23.92050	-74.06641	0.12728	0.25556
89.12378	57.57943	139.82259	23.98421	-74.12959	0.13059	0.23478
89.62448	57.57890	139.82208	23.96760	-74.15103	0.13144	0.22759
90.12517	57.57800	139.82072	24.03713	-74.21548	0.13442	0.20574
