Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
266.36996	58.64197	143.87267	25.81419	36.59530	0.35222	-0.96847
266.87065	58.64110	143.87222	25.79850	36.62433	0.34931	-0.95313
267.37135	58.64026	143.87183	25.78344	36.65299	0.34640	-0.93763
267.87204	58.63945	143.87152	25.76904	36.68131	0.34350	-0.92198
268.37274	58.63866	143.87130	25.75532	36.70927	0.34061	-0.90617
268.87344	58.63791	143.87115	25.74230	36.73689	0.33773	-0.89022
269.37413	58.63718	143.87109	25.72999	36.76415	0.33484	-0.87413
269.87483	58.63649	143.87113	25.71840	36.79105	0.33197	-0.85791
270.37552	58.63583	143.87126	25.70754	36.81758	0.32910	-0.84154
270.87622	58.63521	143.87148	25.69742	36.84371	0.32624	-0.82505
271.37691	58.63462	143.87181	25.68804	36.86944	0.32339	-0.80842
271.87761	58.63407	143.87224	25.67939	36.89474	0.32055	-0.79167
272.37830	58.63356	143.87277	25.67149	36.91959	0.31772	-0.77481
272.87900	58.63307	143.87339	25.66432	36.94394	0.31489	-0.75783
273.37969	58.63263	143.87410	25.65789	36.96779	0.31208	-0.74075
273.88039	58.63221	143.87491	25.65219	36.99109	0.30927	-0.72358
274.38108	58.63183	143.87582	25.64722	37.01384	0.30647	-0.70632
274.88178	58.63148	143.87681	25.64298	37.03601	0.30369	-0.68899
275.38248	58.63117	143.87790	25.63948	37.05757	0.30091	-0.67160
275.88317	58.63088	143.87908	25.63671	37.07852	0.29815	-0.65414
276.38387	58.63064	143.88036	25.63467	37.09884	0.29540	-0.63663
276.88456	58.63043	143.88173	25.63335	37.11852	0.29266	-0.61907
277.38526	58.63025	143.88318	25.63277	37.13753	0.28993	-0.60145
277.88595	58.63010	143.88473	25.63290	37.15587	0.28721	-0.58379
278.38665	58.62999	143.88635	25.63375	37.17353	0.28450	-0.56608
278.88734	58.62991	143.88805	25.63531	37.19049	0.28180	-0.54832
279.38804	58.62985	143.88982	25.63758	37.20673	0.27912	-0.53053
